,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
272,273,2-STORY 1946 & NEWER,Residential Low Density,92.0,11764,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Northridge,Normal,Normal,1Fam,Two story,Very Good,Very Good,1999,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,348.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,524,Unfinshed,0,628,1152,Gas forced warm air furnace,Excellent,Yes,SBrkr,1164,1106,0,2270,0,0,2,1,4,1,Good,9,Typ,1,Gd,Attchd,1999.0,Fin,3,671,TA,TA,Paved,132,57,0,0,0,0,No Pool,No Fence,None,0,4,2010,Warranty Deed - Conventional,Normal,290000
273,274,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Adjacent to feeder street,Normal,1Fam,One story,Above Average,Above Average,1958,1988,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Common,183.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Rec Room,620,Low Quality,620,0,1240,Gas forced warm air furnace,Good,Yes,SBrkr,1632,0,0,1632,1,0,2,0,3,1,Typical/Average,6,Min1,1,Gd,Attchd,1958.0,RFn,1,338,TA,TA,Paved,289,0,0,0,0,0,No Pool,Minimum Privacy,None,0,4,2009,Warranty Deed - Conventional,Normal,139000
274,275,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,76.0,8314,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Mitchell,Normal,Normal,1Fam,One story,Average,Average,1982,1982,Gable,Standard (Composite) Shingle,Hard Board,Imitation Stucco,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,Gd,Average Living Quarters,546,Unfinshed,0,270,816,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,816,0,0,816,0,0,1,0,2,1,Typical/Average,5,Typ,0,No Fireplace,Attchd,1982.0,Unf,1,264,TA,TA,Paved,168,0,0,0,0,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,124500
275,276,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,55.0,7264,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Normal,1Fam,One and one-half story: 2nd level finished,Good,Good,1925,2007,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Good,Good,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,952,952,Gas hot water or steam heat,Good,No,SBrkr,952,596,0,1548,0,0,2,1,3,1,Excellent,5,Typ,0,No Fireplace,Detchd,1978.0,Unf,2,672,TA,TA,Paved,74,0,0,0,144,0,No Pool,No Fence,None,0,10,2009,Warranty Deed - Conventional,Normal,205000
276,277,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,129.0,9196,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Mitchell,Normal,Normal,1Fam,One story,Good,Good,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Excellent,Typical,No,Unfinshed,0,Unfinshed,0,1560,1560,Gas forced warm air furnace,Excellent,Yes,SBrkr,1560,0,0,1560,0,0,2,0,3,1,Good,7,Typ,0,No Fireplace,Attchd,2003.0,Fin,2,573,TA,TA,Paved,100,150,0,0,0,0,No Pool,No Fence,None,0,4,2010,Warranty Deed - Conventional,Normal,201000
277,278,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,140.0,19138,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Gilbert,Normal,Normal,1Fam,One story,Below Average,Below Average,1951,1951,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Low Quality,120,Unfinshed,0,744,864,Gas forced warm air furnace,Excellent,Yes,SBrkr,864,0,0,864,0,0,1,0,2,1,Typical/Average,4,Typ,0,No Fireplace,Detchd,1951.0,Unf,2,400,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,6,2010,Warranty Deed - Conventional,Normal,141000
278,279,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,107.0,14450,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,1Fam,One story,Excellent,Excellent,2006,2007,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Brick Face,315.0,Excellent,Average/Typical,Poured Contrete,Excellent,Typical,Gd,Unfinshed,0,Unfinshed,0,2121,2121,Gas forced warm air furnace,Excellent,Yes,SBrkr,2121,0,0,2121,0,0,2,1,3,1,Excellent,8,Typ,1,Ex,Attchd,2007.0,Fin,3,732,TA,TA,Paved,124,98,0,0,142,0,No Pool,No Fence,None,0,5,2007,Home just constructed and sold,Partial,415298
279,280,2-STORY 1946 & NEWER,Residential Low Density,83.0,10005,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Normal,Normal,1Fam,Two story,Good,Good,1977,1977,Hip,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,299.0,Average/Typical,Average/Typical,Cinder Block,Good,Typical,No,Below Average Living Quarters,392,Unfinshed,0,768,1160,Gas forced warm air furnace,Excellent,Yes,SBrkr,1156,866,0,2022,0,0,2,1,4,1,Typical/Average,8,Typ,1,TA,Attchd,1977.0,Fin,2,505,TA,TA,Paved,288,117,0,0,0,0,No Pool,No Fence,None,0,3,2008,Warranty Deed - Conventional,Normal,192000
280,281,2-STORY 1946 & NEWER,Residential Low Density,82.0,11287,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,1Fam,Two story,Good,Good,1989,1989,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,340.0,Good,Average/Typical,Cinder Block,Good,Typical,Av,Good Living Quarters,421,Unfinshed,0,386,807,Gas forced warm air furnace,Good,Yes,SBrkr,1175,807,0,1982,0,0,2,1,3,1,Good,7,Typ,1,TA,Attchd,1989.0,Fin,2,575,TA,TA,Paved,0,84,0,196,0,0,No Pool,No Fence,None,0,1,2007,Warranty Deed - Conventional,Normal,228500
281,282,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,60.0,7200,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,1Fam,One story,Above Average,Above Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,68.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,905,Unfinshed,0,357,1262,Gas forced warm air furnace,Good,Yes,SBrkr,1262,0,0,1262,0,0,2,0,2,1,Good,5,Typ,0,No Fireplace,Attchd,2006.0,Fin,2,572,TA,TA,Paved,0,120,0,0,0,0,No Pool,No Fence,None,0,5,2006,Home just constructed and sold,Partial,185000
282,283,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,34.0,5063,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Twnhs,One story,Good,Good,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,166.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,904,Unfinshed,0,410,1314,Gas forced warm air furnace,Excellent,Yes,SBrkr,1314,0,0,1314,1,0,2,0,2,1,Good,6,Typ,1,Gd,Attchd,2008.0,RFn,2,626,TA,TA,Paved,172,62,0,0,0,0,No Pool,No Fence,None,0,4,2009,Contract Low Down payment and low interest,Normal,207500
283,284,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,74.0,9612,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Adjacent to feeder street,Normal,1Fam,One story,Very Good,Very Good,2008,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,72.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,1468,1468,Gas forced warm air furnace,Excellent,Yes,SBrkr,1468,0,0,1468,0,0,2,0,3,1,Good,6,Typ,1,Gd,Attchd,2008.0,Fin,3,898,TA,TA,Paved,210,150,0,0,0,0,No Pool,No Fence,None,0,12,2009,Home just constructed and sold,Partial,244600
284,285,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,50.0,8012,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,TwnhsE,One story,Above Average,Above Average,1992,1992,Gable,Standard (Composite) Shingle,Plywood,Imitation Stucco,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,430,Unfinshed,0,1145,1575,Gas forced warm air furnace,Good,Yes,SBrkr,1575,0,0,1575,1,0,2,0,2,1,Good,5,Typ,0,No Fireplace,Attchd,1992.0,RFn,2,529,TA,TA,Paved,0,0,52,0,0,0,No Pool,No Fence,None,0,7,2007,Warranty Deed - Conventional,Normal,179200
285,286,2-STORY PUD - 1946 & NEWER,Floating Village Residential,35.0,4251,Paved,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,TwnhsE,Two story,Good,Good,2006,2007,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,625,625,Gas forced warm air furnace,Excellent,Yes,SBrkr,625,625,0,1250,0,0,2,1,2,1,Good,5,Typ,0,No Fireplace,Detchd,2006.0,RFn,2,528,TA,TA,Paved,0,54,0,0,0,0,No Pool,No Fence,None,0,6,2007,Home just constructed and sold,Partial,164700
286,287,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,77.0,9786,Paved,No alley access,Slightly irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One and one-half story: 2nd level finished,Above Average,Above Average,1962,1981,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Rec Room,600,Unfinshed,0,312,912,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1085,649,0,1734,0,0,1,1,3,1,Good,7,Typ,1,Gd,Attchd,1962.0,RFn,2,440,TA,TA,Paved,0,0,0,0,128,0,No Pool,Good Privacy,None,0,6,2006,Warranty Deed - Conventional,Normal,159000
287,288,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,8125,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Below Average,Below Average,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Below Average Living Quarters,614,Unfinshed,0,244,858,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,858,0,0,858,0,0,1,0,3,1,Typical/Average,5,Typ,0,No Fireplace,No Garage,0.0,No Garage,0,0,No Garage,No Garage,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,6,2006,Warranty Deed - Conventional,Normal,88000
288,289,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,9819,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,31.0,Average/Typical,Good,Cinder Block,Typical,Typical,No,Below Average Living Quarters,450,Unfinshed,0,432,882,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,900,0,0,900,0,0,1,0,3,1,Typical/Average,5,Typ,0,No Fireplace,Detchd,1970.0,Unf,1,280,TA,TA,Paved,0,0,0,0,0,0,No Pool,Minimum Privacy,None,0,2,2010,Warranty Deed - Conventional,Normal,122000
289,290,2-STORY 1945 & OLDER,Residential Low Density,60.0,8730,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Adjacent to North-South Railroad,Normal,1Fam,Two story,Above Average,Above Average,1915,2003,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,698,698,Gas forced warm air furnace,Excellent,Yes,FuseA,698,698,0,1396,0,0,1,0,3,1,Typical/Average,7,Typ,0,No Fireplace,Detchd,2003.0,Unf,1,384,TA,TA,Paved,0,0,0,0,259,0,No Pool,No Fence,None,0,7,2007,Warranty Deed - Conventional,Normal,153575
290,291,2-STORY 1946 & NEWER,Residential Low Density,120.0,15611,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,Two story,Very Good,Very Good,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,Av,Unfinshed,0,Unfinshed,0,1079,1079,Gas forced warm air furnace,Excellent,Yes,SBrkr,1079,840,0,1919,0,0,2,1,3,1,Good,8,Typ,1,Gd,Attchd,2006.0,RFn,2,685,Gd,TA,Paved,0,51,0,0,0,0,No Pool,No Fence,None,0,7,2006,Home just constructed and sold,Partial,233230
291,292,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,55.0,5687,Paved,Gravel,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Normal,2fmCon,Two story,Average,Average,1912,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Fair,Poured Contrete,Typical,Fair,No,Average Rec Room,210,Unfinshed,0,570,780,Gas forced warm air furnace,Excellent,No,SBrkr,936,780,0,1716,1,0,2,0,6,1,Fair,9,Typ,0,No Fireplace,No Garage,0.0,No Garage,0,0,No Garage,No Garage,Dirt/Gravel,0,184,0,0,0,0,No Pool,No Fence,None,0,3,2008,Warranty Deed - Conventional,Normal,135900
292,293,1-1/2 STORY FINISHED ALL AGES,Residential Low Density,60.0,11409,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,1Fam,One and one-half story: 2nd level finished,Average,Average,1949,2008,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Low Quality,292,Unfinshed,0,476,768,Gas forced warm air furnace,Good,Yes,SBrkr,1148,568,0,1716,0,0,1,1,3,1,Typical/Average,8,Min2,1,Gd,Attchd,1949.0,Unf,1,281,TA,TA,Paved,0,0,0,0,160,0,No Pool,No Fence,None,0,1,2009,Warranty Deed - Conventional,Normal,131000
293,294,2-STORY 1946 & NEWER,Residential Low Density,70.04995836802665,16659,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northwest Ames,Adjacent to postive off-site feature,Normal,1Fam,Two story,Good,Good,1977,1994,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,34.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,795,Unfinshed,0,0,795,Gas forced warm air furnace,Fair,Yes,SBrkr,1468,795,0,2263,1,0,2,1,3,1,Good,9,Typ,1,TA,Attchd,1977.0,Fin,2,539,TA,TA,Paved,0,250,0,0,0,0,No Pool,No Fence,None,0,3,2006,Warranty Deed - Conventional,Normal,235000
294,295,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Above Average,Above Average,1953,1953,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Stone,238.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Good Living Quarters,1285,Unfinshed,0,131,1416,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1644,0,0,1644,1,0,1,0,3,1,Typical/Average,7,Typ,2,Gd,Attchd,1953.0,Fin,2,418,TA,TA,Paved,110,0,0,0,0,0,No Pool,No Fence,None,0,10,2009,Warranty Deed - Conventional,Normal,167000
295,296,SPLIT OR MULTI-LEVEL,Residential Low Density,37.0,7937,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Mitchell,Normal,Normal,1Fam,Split Level,Above Average,Above Average,1984,1984,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,Av,Good Living Quarters,819,Unfinshed,0,184,1003,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1003,0,0,1003,1,0,1,0,3,1,Typical/Average,6,Typ,0,No Fireplace,Detchd,1984.0,Unf,2,588,TA,TA,Paved,120,0,0,0,0,0,No Pool,Good Privacy,None,0,3,2006,Warranty Deed - Conventional,Normal,142500
296,297,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,75.0,13710,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,1Fam,One and one-half story: 2nd level finished,Average,Average,1950,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Below Average Living Quarters,420,Unfinshed,0,490,910,Gas forced warm air furnace,Average/Typical,Yes,FuseA,910,648,0,1558,0,0,1,1,4,1,Typical/Average,6,Typ,0,No Fireplace,Attchd,1950.0,Unf,1,282,TA,TA,Paved,289,0,0,0,0,0,No Pool,Minimum Privacy,None,0,6,2007,Warranty Deed - Conventional,Normal,152000
297,298,2-STORY 1946 & NEWER,Floating Village Residential,66.0,7399,Paved,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,1Fam,Two story,Good,Good,1997,1998,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,1600.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Below Average Living Quarters,649,Unfinshed,0,326,975,Gas forced warm air furnace,Excellent,Yes,SBrkr,975,975,0,1950,0,0,2,1,3,1,Good,7,Typ,1,TA,Detchd,1997.0,RFn,2,576,TA,TA,Paved,0,10,0,0,198,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,239000
298,299,2-STORY 1946 & NEWER,Residential Low Density,90.0,11700,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,1Fam,Two story,Above Average,Above Average,1968,1968,Mansard,Standard (Composite) Shingle,Hard Board,Asphalt Shingles,Brick Face,365.0,Good,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,384,Average Rec Room,175,143,702,Gas forced warm air furnace,Good,Yes,SBrkr,1041,702,0,1743,0,1,1,2,3,1,Typical/Average,7,Typ,1,Gd,Attchd,1968.0,Unf,2,539,TA,TA,Paved,224,0,0,0,0,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,175000
299,300,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,14000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,1Fam,One story,Above Average,Above Average,1950,2004,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Good,Cinder Block,Typical,Typical,No,Unfinshed,0,Unfinshed,0,1092,1092,Gas forced warm air furnace,Excellent,Yes,SBrkr,1152,0,0,1152,0,1,1,0,3,1,Good,6,Typ,1,Gd,Attchd,1950.0,Unf,1,300,TA,TA,Paved,0,36,0,0,0,0,No Pool,Good Privacy,None,0,8,2009,Warranty Deed - Conventional,Family,158500
300,301,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,90.0,15750,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,2fmCon,One story,Average,Average,1953,1953,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,56.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,Mn,Below Average Living Quarters,841,Unfinshed,0,324,1165,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1336,0,0,1336,1,0,1,0,2,1,Typical/Average,5,Typ,2,Gd,Attchd,1953.0,Unf,1,375,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,6,2006,Warranty Deed - Conventional,Normal,157000
301,302,2-STORY 1946 & NEWER,Residential Low Density,66.0,16226,Paved,No alley access,Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,Two story,Very Good,Very Good,1998,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,281,Unfinshed,0,747,1028,Gas forced warm air furnace,Excellent,Yes,SBrkr,1210,1242,0,2452,0,0,2,1,4,1,Good,9,Typ,1,TA,BuiltIn,1998.0,Fin,2,683,TA,TA,Paved,208,50,0,0,0,0,No Pool,No Fence,None,0,5,2007,Warranty Deed - Conventional,Normal,267000
302,303,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,118.0,13704,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,1Fam,One story,Good,Good,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,150.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,1541,1541,Gas forced warm air furnace,Excellent,Yes,SBrkr,1541,0,0,1541,0,0,2,0,3,1,Good,6,Typ,1,TA,Attchd,2001.0,RFn,3,843,TA,TA,Paved,468,81,0,0,0,0,No Pool,No Fence,None,0,1,2006,Warranty Deed - Conventional,Normal,205000
303,304,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,9800,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,1Fam,One story,Average,Average,1972,1972,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Typical,Typical,No,Average Living Quarters,894,Unfinshed,0,0,894,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,894,0,0,894,1,0,1,0,3,1,Typical/Average,5,Typ,0,No Fireplace,Attchd,1975.0,Unf,2,552,TA,TA,Paved,256,0,0,0,0,0,No Pool,Good Wood,None,0,7,2006,Warranty Deed - Conventional,Abnorml,149900
304,305,2-1/2 STORY ALL AGES,Residential Medium Density,87.0,18386,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Normal,1Fam,Two and one-half story: 2nd level finished,Good,Good,1880,2002,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,1470,1470,Gas forced warm air furnace,Excellent,Yes,SBrkr,1675,1818,0,3493,0,0,3,0,3,1,Good,10,Typ,1,Ex,Attchd,2003.0,Unf,3,870,TA,TA,Paved,302,0,0,0,0,0,No Pool,No Fence,None,0,5,2008,Warranty Deed - Conventional,Normal,295000
305,306,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,10386,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,One story,Very Good,Very Good,2004,2005,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Stone,246.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,1464,Unfinshed,0,536,2000,Gas forced warm air furnace,Excellent,Yes,SBrkr,2000,0,0,2000,1,0,2,0,3,1,Good,8,Typ,0,No Fireplace,Attchd,2004.0,Fin,3,888,TA,TA,Paved,168,0,0,0,0,0,No Pool,No Fence,None,0,7,2007,Warranty Deed - Conventional,Normal,305900
306,307,2-STORY 1946 & NEWER,Residential Low Density,116.0,13474,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to feeder street,Normal,1Fam,Two story,Good,Good,1990,1991,Gable,Standard (Composite) Shingle,Hard Board,Plywood,Brick Face,246.0,Good,Average/Typical,Cinder Block,Good,Typical,No,Average Living Quarters,700,Unfinshed,0,0,700,Gas forced warm air furnace,Good,Yes,SBrkr,1122,1121,0,2243,1,0,2,1,4,1,Good,8,Typ,1,TA,Attchd,1990.0,RFn,3,746,TA,TA,Paved,127,44,224,0,0,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,225000
